Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	ID	POST
550	Spectrogram 1	1	4456.131561032	4456.790402149	1955.400	2294.100	D	
567	Spectrogram 1	1	3758.896050524	3759.500111594	2042.000	2325.600	D	
593	Spectrogram 1	1	4257.655038995	4258.170267554	2136.600	2344.500	D	
7	Spectrogram 1	1	2290.647427208	2291.251488277	2268.900	2590.300	E	
18	Spectrogram 1	1	2335.099213500	2335.596675557	2306.700	2571.400	E	
30	Spectrogram 1	1	2382.322574110	2382.802269665	2325.600	2571.400	E	
42	Spectrogram 1	1	2431.766747475	2432.264209532	2344.500	2571.400	E	
55	Spectrogram 1	1	2488.548481911	2488.939344956	2287.800	2552.500	E	
66	Spectrogram 1	1	2532.413973636	2532.982501701	2287.800	2628.200	E	
81	Spectrogram 1	1	2594.419063943	2594.792160486	2287.800	2628.200	E	
91	Spectrogram 1	1	2634.766788264	2635.228717317	2212.200	2571.400	E	
101	Spectrogram 1	1	2675.771869794	2676.251565349	2268.900	2590.300	E	
112	Spectrogram 1	1	2719.157665964	2719.761727033	2250.000	2647.100	E	
137	Spectrogram 1	1	2774.552631152	2775.048316559	2284.000	2592.200	E	
150	Spectrogram 1	1	2826.727553210	2827.223238617	2284.000	2592.200	E	
164	Spectrogram 1	1	2883.314239928	2883.809925335	2284.000	2592.200	E	
178	Spectrogram 1	1	2939.575849250	2940.071534657	2284.000	2592.200	E	
186	Spectrogram 1	1	2972.408666246	2972.904351653	2284.000	2592.200	E	
199	Spectrogram 1	1	3021.820430438	3022.316115845	2284.000	2592.200	E	
204	Spectrogram 1	1	3040.767798662	3041.263484069	2284.000	2592.200	E	
215	Spectrogram 1	1	3083.979872516	3084.475557923	2284.000	2592.200	E	
225	Spectrogram 1	1	3123.685754456	3124.181439863	2284.000	2592.200	E	
234	Spectrogram 1	1	3160.512379460	3161.008064867	2284.000	2592.200	E	
246	Spectrogram 1	1	3205.489159178	3205.984844585	2284.000	2592.200	E	
257	Spectrogram 1	1	3247.424143262	3247.919828669	2284.000	2592.200	E	
262	Spectrogram 1	1	3267.555722000	3268.051407407	2284.000	2592.200	E	
277	Spectrogram 1	1	3324.258507788	3324.754193195	2284.000	2592.200	E	
287	Spectrogram 1	1	3362.199683864	3362.695369271	2284.000	2592.200	E	
298	Spectrogram 1	1	3401.557268594	3402.052954001	2284.000	2592.200	E	
307	Spectrogram 1	1	3437.780178434	3438.275863841	2284.000	2592.200	E	
313	Spectrogram 1	1	3458.306494010	3458.802179417	2284.000	2592.200	E	
327	Spectrogram 1	1	3509.622282950	3510.117968357	2284.000	2592.200	E	
339	Spectrogram 1	1	3554.877700436	3555.373385843	2284.000	2592.200	E	
348	Spectrogram 1	1	3587.640857990	3588.136543397	2284.000	2592.200	E	
365	Spectrogram 1	1	3663.708968654	3664.204654061	2284.000	2592.200	E	
374	Spectrogram 1	1	3695.705872346	3696.201557753	2284.000	2592.200	E	
385	Spectrogram 1	1	3744.862218584	3745.357903991	2284.000	2592.200	E	
401	Spectrogram 1	1	3820.907109434	3821.402794841	2284.000	2592.200	E	
409	Spectrogram 1	1	3851.023208192	3851.518893599	2284.000	2592.200	E	
422	Spectrogram 1	1	3900.922588478	3901.418273885	2284.000	2592.200	E	
429	Spectrogram 1	1	3927.578934950	3928.074620357	2284.000	2592.200	E	
