BirdID,RecA Time,RecA End,nsk
power2,4009.380917634141,4011.014840329903,1
power2,4014.3757789147485,4015.5941708881483,1
power2,4016.8383616856527,4018.227597677486,1
power2,4019.3474082824227,4020.334634419423,1
power2,4022.0011052845853,4023.364621503785,1
power2,4025.015995038089,4026.2343870114887,1
power2,4027.5715054607253,4028.989136874998,1
power2,4030.638117967889,4032.203223681389,1
power2,4033.7307970542497,4035.0404066682495,1
power2,4036.4925600270194,4037.7199540149286,1
power2,4039.6753320988482,4041.225709615265,1
power2,4043.345974342271,4044.598846929771,1
power2,4046.3196591977025,4047.791274526339,1
power2,4049.1539525755356,4050.381346563445,1
power2,4051.6629991723057,4053.296921868068,1
power2,4054.4972925501384,4055.4845186871385,1
power2,4056.866947669311,4058.256183661144,1
power2,4059.98002400234,4061.19841597574,1
power2,4062.8375492931063,4064.4714719888684,1
power2,4065.9738575390693,4067.283467153069,1
power2,4069.0172381333,4070.434869547573,1
power2,4072.502025073258,4074.052402589675,1
power2,4075.986812013217,4077.239684600717,1
power2,4078.7514096522505,4079.9788036401596,1
power2,4081.9574136370125,4083.4290289656487,1
power2,4084.9543304053773,4085.9415565423774,1
power2,4087.9280152608085,4089.478392777225,1
power2,4090.9017001162397,4092.1200920896395,1
power2,4093.828921145805,4095.462843841567,1
power2,4096.75614217537,4098.32124788887,1
power2,4100.031841898931,4101.341451512931,1
power2,4102.935831015563,4104.353462429835,1
power1,4105.5952289736115,4106.820658914112,1
power2,4105.723660567531,4107.274038083948,1
power1,4108.0267033953805,4109.480986172926,1
power2,4108.790273074694,4110.017667062602,1
power1,4110.905961488033,4112.2912064628335,1
power2,4111.392247323196,4112.863862651832,1
power1,4114.226396223915,4115.616722857115,1
power2,4114.296236439828,4115.514628413228,1
power2,4116.7355872978,4118.369509993561,1
power1,4117.523611136469,4118.702646541684,1
power2,4119.895127456695,4121.148000044195,1
power1,4120.309989935811,4121.755341438902,1
power2,4122.3577102275995,4123.9228159410995,1
power1,4123.7697436116605,4125.1318459938275,1
power2,4126.702077946081,4127.689304083081,1
power1,4127.020518877559,4128.420580632859,1
power2,4129.7919223661775,4131.3422998825945,1
power1,4131.246526723227,4132.4995189568635,1
power2,4133.137317828538,4134.355709801937,1
power1,4133.9400262292575,4135.394309006803,1
power2,4135.855451641705,4137.273083055978,1
power1,4137.748077255023,4138.973507195524,1
power2,4138.643281193672,4139.952890807672,1
power1,4140.696994817661,4142.142346320752,1
power2,4141.175559703376,4142.6471750320125,1
power2,4144.009853081208,4145.237247069117,1
power1,4144.110308846854,4145.510370602155,1
power2,4146.658291155578,4147.911163743078,1
power1,4147.17532552613,4148.537427908297,1
power2,4149.306729229946,4150.871834943446,1
power1,4150.101023265438,4151.491349898638,1
power2,4153.093531038035,4154.311923011434,1
power1,4153.467897647975,4154.64693305319,1
power2,4155.393490418407,4157.027413114169,1
power1,4156.532914327251,4157.918159302051,1
power2,4158.297479535039,4159.607089149039,1
power1,4160.224866236379,4161.624927991679,1
power2,4161.782266474997,4163.332643991414,1
power1,4164.125796555458,4165.378788789094,1
power2,4165.179348652249,4166.166574789249,1
power2,4167.590244708263,4168.817638696171,1
power1,4168.236819993935,4169.505664214935,1
power2,4170.285146608497,4171.756761937133,1
power1,4172.6474717167775,4173.872901657278,1
power2,4173.584078244991,4174.802470218391,1
power2,4175.8375737994975,4177.471496495259,1
power1,4176.107225392626,4177.561508170172,1
power2,4179.601143694653,4180.854016282153,1
power1,4179.636638538459,4181.021883513259,1
power2,4182.040494552623,4183.59087206904,1
power1,4182.840974157702,4184.2313007909015,1
power2,4185.571745318449,4186.558971455449,1
power1,4187.484938823271,4188.663974228485,1
power2,4187.987864263487,4189.405495677759,1
power1,4190.526735679219,4191.926797434519,1
power2,4192.634246850098,4193.943856464098,1
power1,4194.984941758166,4196.210371698667,1
power2,4195.770555096061,4197.335660809561,1
power1,4197.864199850818,4199.309551353909,1
power2,4199.557356904149,4200.784750892058,1
power1,4201.532931936618,4202.895034318785,1
power2,4202.275490717317,4203.293931035862,1
power2,4204.784537314087,4206.2561526427235,1
power1,4205.0391252591235,4206.493408036669,1
power2,4207.781454082451,4209.091063696451,1
power1,4209.195473634808,4210.580718609608,1
power2,4210.73190702495,4212.282284541367,1
power1,4212.701666957313,4214.091993590513,1
power2,4214.3096216166405,4215.296847753641,1
power2,4216.58634908408,4218.220271779842,1
power1,4216.649036923047,4217.902029156683,1
power2,4219.536802026579,4220.764196014487,1
power1,4220.340988832175,4221.726233806975,1
power2,4221.952920971617,4223.34215696345,1
power1,4224.868854381104,4226.094284321604,1
power2,4224.973069652914,4226.191461626314,1
power2,4227.482116249685,4228.899747663957,1
power1,4228.46792699692,4229.922209774466,1
power2,4230.525496843915,4231.778369431415,1
power1,4232.020559966081,4233.199595371296,1
power2,4233.081007266551,4234.552622595187,1
power1,4235.340994701964,4236.7863462050545,1
power2,4236.333475077179,4237.551867050579,1
power1,4238.870407847796,4240.270469603096,1
power2,4238.912217412749,4240.462594929166,1
power2,4242.582859656171,4243.5700857931715,1
power1,4242.8642174601855,4244.2263198423525,1
power2,4245.068674340008,4246.633780053508,1
power1,4247.113445129181,4248.503771762381,1
power2,4249.41304205849,4250.7226516724895,1
power1,4251.316233151522,4252.701478126322,1
power2,4251.968552481127,4253.386183895399,1
power1,4255.356482410567,4256.810765188113,1
power2,4255.430107508152,4256.980485024569,1
power2,4258.45025618945,4259.70312877695,1
power1,4259.954007429481,4261.206999663117,1
power2,4261.145158089684,4262.779080785445,1
power1,4263.553080045297,4264.953141800597,1
power2,4263.979451467518,4265.206845455426,1
power1,4267.61654912767,4269.00179410247,1
power2,4268.114731969602,4269.586347298238,1
power1,4271.378160506781,4272.603590447281,1
power2,4271.413663606096,4272.6320555794955,1
power2,4274.092853985938,4275.320247973847,1
power1,4274.95401329927,4276.399364802361,1
power2,4277.151946100561,4278.717051814061,1
power1,4278.785284148364,4280.147386530531,1
power2,4280.03270330426,4281.34231291826,1
power1,4282.454016234164,4283.844342867364,1
power2,4282.681141378628,4284.231518895045,1
power2,4285.70694268075,4286.69416881775,1
power1,4286.2620672599305,4287.441102665145,1
power2,4288.2568004825625,4289.728415811199,1
power1,4289.466402879173,4290.920685656719,1
power2,4291.765374289468,4293.018246876968,1
power1,4293.436992668235,4294.822237643035,1
power2,4294.32032975809,4295.954252453852,1
power1,4297.05928510738,4298.45934686268,1
power2,4297.270782700589,4298.498176688498,1
power2,4299.9192207749575,4301.484326488458,1
power1,4301.656810126293,4302.909802359929,1
power2,4303.682790670113,4304.670016807113,1
power1,4304.60572768893,4306.051079192021,1
power2,4306.16860535395,4307.586236768222,1
power1,4308.878175181254,4310.103605121754,1
power2,4309.0958263835155,4310.6462038999325,1
power1,4312.0592909771685,4313.513573754714,1
power2,4312.1624388906785,4313.380830864078,1
power2,4315.67045774357,4317.304380439332,1
power1,4318.050005395753,4319.41210777792,1
power2,4320.340072243114,4321.649681857114,1
power1,4321.997375361486,4323.387701994686,1
power2,4323.313757098546,4324.541151086455,1
power2,4325.6369483918525,4327.108563720489,1
power1,4326.26982285381,4327.448858259025,1
power2,4328.633865160216,4329.943474774216,1
power1,4330.635149639445,4332.020394614246,1
power2,4331.746941493246,4333.297319009663,1
